Incident Number,Cause number,bsee_source_field
EI-56-20080610-2245,2,19
AC-815-20080614-2122,1,18
AC-815-20080614-2122,2,19
GC-653-20080616-0716,1,18
GC-653-20080616-0716,2,19
WC-202-20080624-0800,1,18
WC-202-20080624-0800,2,19
WC-102-20080710-1015,1,18
WC-102-20080710-1015,2,19
WC-102-20080710-1015,3,19
WC-102-20080710-1015,4,19
WC-102-20080710-1015,5,19
WC-102-20080710-1015,6,19
ST-68-20080713-1530,1,18
ST-68-20080713-1530,2,19
EI-57-20080713-2250,1,18
EI-57-20080713-2250,2,19
SS-204-20080719-1248,1,18
SS-204-20080719-1248,2,19
SS-238-20080727-0045,1,18
SS-238-20080727-0045,2,19
HI-20080730-1515,1,18
HI-20080730-1515,2,19
EI-196-20080731-1645,1,18
EI-196-20080731-1645,2,19
SM-212-20080804-0130,1,18
SM-212-20080804-0130,2,18
SM-212-20080804-0130,3,18
SM-212-20080804-0130,4,19
SM-212-20080804-0130,5,19
SM-212-20080804-0130,6,19
HI-20080804-1400,1,18
HI-20080804-1400,2,19
VR-267-20080815-1200,1,18
VR-267-20080815-1200,2,18
VR-267-20080815-1200,3,18
VR-267-20080815-1200,4,19
VR-267-20080815-1200,5,19
VR-267-20080815-1200,6,19
VR-267-20080815-1200,7,19
EI-259-20080822-0926,1,18
EI-259-20080822-0926,2,19
SP-60-20080906-0400,1,18
SP-60-20080906-0400,2,18
SP-60-20080906-0400,3,18
SP-60-20080906-0400,4,18
WR-678-20080920-0100,1,18
WR-678-20080920-0100,2,19
MC-941-20080927-2130,1,18
MC-941-20080927-2130,2,18
WC-661-20081002-1350,1,18
WC-661-20081002-1350,2,19
WC-661-20081002-1350,3,19
EW-871-20081013-1620,1,18
EW-871-20081013-1620,2,19
ST-35-20081015-1400,1,18
ST-35-20081015-1400,2,19
SM-130-20081023-1730,1,18
SM-130-20081023-1730,2,19
VR-245-20081031-1430,1,18
VR-245-20081031-1430,2,19
WR-678-20081101-1500,1,18
WR-678-20081101-1500,2,19
EW-305-20081102-1105,1,18
EW-305-20081102-1105,2,18
EW-305-20081102-1105,3,18
EW-305-20081102-1105,4,19
EW-305-20081102-1105,5,19
EW-305-20081102-1105,6,19
EW-305-20081103-1415,1,18
EW-305-20081103-1415,2,18
EW-305-20081103-1415,3,19
GI-47-20081113-0100,1,18
EI-98-20081119-0300,1,18
EI-98-20081119-0300,2,19
EI-327-20081123-0335,1,18
